topic,label,top_words
0,iranian / israel / regime / ukraine,"iranian, israel, regime, ukraine, iran, people, hezbollah, idf, missile, missiles"
1,ukraine / hezbollah / idf / regime,"ukraine, hezbollah, idf, regime, nato, iranian, israel, support, russia, terrorist"
2,idf / israel / regime / iranian,"idf, israel, regime, iranian, troops, terrorists, hezbollah, terrorist, struck, eliminated"
3,nato / trump / defence / president,"nato, trump, defence, president, million, health, care, people, regime, ukraine"
4,nato / ukraine / russia / defence,"nato, ukraine, russia, defence, israel, russian, trump, defense, war, health"
5,israel / ukraine / air / iran,"israel, ukraine, air, iran, targets, trump, military, force, struck, idf"
6,iran / president / ukraine / minister,"iran, president, ukraine, minister, people, defense, foreign, health, care, million"
7,hezbollah / israel / idf / minister,"hezbollah, israel, idf, minister, president, lebanon, people, iranian, gaza, trump"
8,israel / iran / israeli / february,"israel, iran, israeli, february, regime, iranian, enemy, president, trump, war"
9,february / enemy / minister / middle,"february, enemy, minister, middle, east, war, foreign, iran, region, losses"
10,air / people / defense / trump,"air, people, defense, trump, hezbollah, president, idf, missiles, billion, enemy"
11,russia / war / nato / enemy,"russia, war, nato, enemy, ukraine, trump, energy, missiles, defense, region"
